Data
86.1;W;Starc to Dockrell, OUT;George Dockrell lbw b Starc 0 (19m 8b 0x4 0x6) SR: 0;
20.3;?;Hussain to Khawaja, no run;
20.2;3;Hussain to Cowan, 3 runs;
20.1;?;Hussain to Cowan, no run;
19.6;?;Meschede to Khawaja, no run;
19.5;?;Meschede to Khawaja, no run;
19.4;?;Meschede to Khawaja, no run;
19.3;?;Meschede to Khawaja, no run;
19.2;?;Meschede to Khawaja, no run;
19.1;?;Meschede to Khawaja, no run;
18.6;?;Hussain to Cowan, no run;
18.5;?;Hussain to Cowan, no run;
18.4;?;Hussain to Cowan, no run;
18.3;1;Hussain to Khawaja, 1 run;
18.2;?;Hussain to Khawaja, no run;
18.1;3;Hussain to Cowan, 3 runs;
17.6;?;Meschede to Khawaja, no run;
17.5;?;Meschede to Khawaja, no run;
17.4;?;Meschede to Khawaja, no run;
17.3;1;Meschede to Cowan, 1 run;
17.2;?;Meschede to Cowan, no run;
17.1;?;Meschede to Cowan, no run;
16.6;?;Hussain to Khawaja, no run;
16.5;?;Hussain to Khawaja, no run;
16.4;?;Hussain to Khawaja, no run;
16.3;?;Hussain to Khawaja, no run;
16.2;?;Hussain to Khawaja, no run;
16.1;?;Hussain to Khawaja, no run;
15.6;?;Meschede to Cowan, no run;
15.5;?;Meschede to Cowan, no run;
15.4;?;Meschede to Cowan, no run;
15.3;4;Meschede to Cowan, FOUR runs;
15.2;?;Meschede to Cowan, no run;
15.1;?;Meschede to Cowan, no run;
14.6;1;Hussain to Cowan, 1 run;
14.5;?;Hussain to Cowan, no run;
14.4;4;Hussain to Cowan, FOUR runs;
14.3;?;Hussain to Cowan, no run;
14.2;1;Hussain to Khawaja, 1 run;
14.1;4;Hussain to Khawaja, FOUR runs;
13.6;?;Meschede to Cowan, no run;
13.5;2;Meschede to Cowan, 2 runs;
13.4;?;Meschede to Cowan, no run;
13.3;1;Meschede to Khawaja, 1 run;
13.2;?;Meschede to Khawaja, no run;
13.1;?;Meschede to Khawaja, no run;
12.6;?;Hussain to Cowan, no run;
12.5;1;Hussain to Khawaja, 1 run;
12.4;?;Hussain to Khawaja, no run;
12.3;1;Hussain to Cowan, 1 run;
12.2;?;Hussain to Cowan, no run;
12.1;3;Hussain to Khawaja, 3 runs;
11.6;4;Meschede to Cowan, FOUR runs;
11.5;?;Meschede to Cowan, no run;
11.4;1;Meschede to Khawaja, 1 run;
11.3;?;Meschede to Khawaja, no run;
11.2;1;Meschede to Cowan, 1 run;
11.1;?;Meschede to Cowan, no run;
10.6;?;Hussain to Khawaja, no run;
10.5;?;Hussain to Khawaja, no run;
10.4;?;Hussain to Khawaja, no run;
10.3;?;Hussain to Khawaja, no run;
10.2;?;Hussain to Khawaja, no run;
10.1;?;Hussain to Khawaja, no run;
9.6;?;Meschede to Cowan, no run;
9.5;2;Meschede to Cowan, 2 runs;
9.4;?;Meschede to Cowan, no run;
9.3;?;Meschede to Cowan, no run;
9.2;?;Meschede to Cowan, no run;
9.1;?;Meschede to Cowan, no run;
8.6;?;Hussain to Khawaja, no run;
8.5;?;Hussain to Khawaja, no run;
8.4;?;Hussain to Khawaja, no run;
8.3;?;Hussain to Khawaja, no run;
8.2;4;Hussain to Khawaja, FOUR runs;
8.1;1;Hussain to Cowan, 1 run;
7.6;4;Dockrell to Khawaja, FOUR runs;
7.5;?;Dockrell to Khawaja, no run;
7.4;4;Dockrell to Khawaja, FOUR runs;
7.3;?;Dockrell to Khawaja, no run;
7.2;?;Dockrell to Khawaja, no run;
7.1;?;Dockrell to Khawaja, no run;
6.6;?;Overton to Cowan, no run;
6.5;?;Overton to Cowan, no run;
6.4;?;Overton to Cowan, no run;
6.3;2;Overton to Cowan, 2 runs;
6.2;?;Overton to Cowan, no run;
6.1;?;Overton to Cowan, no run;
5.6;?;Meschede to Khawaja, no run;
5.5;1;Meschede to Cowan, 1 run;
5.4;?;Meschede to Cowan, no run;
5.3;?;Meschede to Cowan, no run;
5.2;?;Meschede to Cowan, no run;
5.1;?;Meschede to Cowan, no run;
4.6;?;Overton to Khawaja, no run;
4.5;?;Overton to Khawaja, no run;
4.4;?;Overton to Khawaja, no run;
4.3;?;Overton to Khawaja, no run;
4.2;1;Overton to Cowan, 1 run;
4.1;?;Overton to Cowan, no run;

 Innings Start
