Data
Chanderpaul and Gayle stroll, casually, out into the middle. No rush. Smallish crowd so far, just a sprinkling around the ground, but it will no doubt fill up quickly...and very quickly if (Chris) Gayle Force blows in.
Here come Australia, jogging out into the middle under a pleasingly cloud-free sky. We're in for a cracker here today. Just waiting for the two West Indian openers now...
Right, chaps. Thanks to all the UK readers who've written to say the GMT time is wrong. Actually, it's right - we're now on BST (British Summer Time) which is a different thing. 14.20BST is 13.20GMT. As you were.
Bob Willis is looking decidedly pink on television. He hasn't quite perfected David Gower's uber-smooth "I was born to present cricket from the beach" look. Mind you, he really has mastered that particular art.
"Tait and Bracken will blow the Windies away," roars the alliteratively named Big Brummie Bob. "Nice damp track, ball swinging around at 95mph - too much for the hosts I am afraid. West Indies less than 100 all out..." Fierce comments. We're ten minutes away from starting, barring a sudden monsoon, so hang around.
08.50
Good morning, g'afternoon and good evening to all. Jamie's fallen off his perch, so it'll me, Will Luke, and Jenny Thompson to take you through today's match (half of it, anyway). We're very excited and trust you are too. The good news is the rain has, at last, relented; in the words of our esteemed editor, Andrew Miller, "blue skies and fluffiness abound". We'll have more erudite observations from him, and us, shortly.
Rain delays play. Stumps
So thats all for today, folks. I shall be back with the action for you tomorrow at 13:30 GMT. Until then, good night/evening/afternoon/morning to all of you who've logged on, wherever you may be. Cheers!
16:01 local, 20:01 GMT Play has been postponed until tomorrow. The target for West Indies will indeed be 323 from 50 overs. Thats because Australia played out a full 50 overs.
15:53 local, 19:53 GMT Bad news, the drizzle is back and the covers are going back on. That should be that for the day. Just 32 minutes till the cut-off time.
15:45 local, 19:45 GMT Okay, I have news for all of you. The target, for West Indies, has been set as 163 from 20 overs. Hmmm...the only question remains the start time. Thats not been confirmed. I doubt they'll get 20 overs in. The Aussies are on the outfield getting ready, so something is happening...
15:41 local, 19:41 GMT Whats this? The covers are coming off...will they have a go at this? A little smashathon? I'll feed you details as they come in...
Did Omair's poetry have anything to do with this?
Andrew: "It's very humid out there, but the mizzle does seem to have stopped. Pretty dark too, but then that's been the case all day."
Let me remind you that you can now watch an animated representation of our commentary on Cricinfo 3D. It uses all our scoring data to render a 3d representation of the game, with various camera angles for you to play around with, and it has features such as wagon wheels, pitch maps, and the live scorecard. There are also replays after every wicket and boundary on demand, as well as celebrations for wickets. Oh, and it's free. Click away.
15:34 local, 19:34 GMT Andrew and his posse at the ground reckon the latest restart has to be 4.25pm local, for a 20-over slog. Interesting.
15:22 local, 19:22 GMT Andrew again: "The groundstaff are loitering but to no great avail. I think we're going to have to conclude this one tomorrow. The latest we can play is until 5.45pm local, according to those in the know. It's currently 3.20pm. And with 20 overs required to constitute a game, they'll need to get started within the hour."
Definitely not good news for the fans out there right now. That means, probably, that if there's no play today, West Indies will still chase 323 with a full 50 overs tomorrow. And thats only if a calculation has been made that they stick to that.
As we kill time, here's a little ditty from one of our readers, Omair Shamim, who picked up on - nay, was inspired by - Andrew's update:
"Its really a crapy mizzle
Its barely even a drizzle
But there is so much water on the covers
There is not point to "muscle"
Still a generous crowd waiting
Just for umpire to give whistle"
See what free time can do to a man? Can we get the game going please...
14:53 local, 18:53 GMT Andrew Miller, from the ground, buzzes: "It's a really crappy mizzle. It's barely even raining, but with so much water already on the covers there's no point in trying to mop up. Still a generous crowd waiting patiently on the grass banks though." Well, there you have it.
14:33 local, 18:33 GMT Theres no let-up. The covers remain on the square. Players still inside.
13:59 local, 17:59 GMT The rain has returned, and the waiting game begins. Watch this space for further updates. I cannot give you an idea as to how long play will be suspended. Its a drizzle.
Please do have a look at our guide to the Super Eights. It will help clarify alot of the questions that are coming in.
29.5;?;Hogg to Ramdin, no run excellent feet from Ramdin, skipping back and hammering this into the covers;
29.4;?;Hogg to Ramdin, no run better length from Hogg, rushing onto the batsman who goes back to defend;
29.3;4;Hogg to Ramdin, FOUR runs calmly, elegantly driven through cover. Full toss, four. As it should be.;
29.2;1;Hogg to Lara, 1 run the wrong'un, turning away from the left hander who cuts it to third man and gets a single. And his fifty;
29.1;?;Hogg to Lara, no run;
29.1;1w;Hogg to Lara, 1 wide down the leg side, Lara sweeps and misses;
28.6;?;McGrath to Ramdin, no run beaten. Cracking ball, jagging back into a meek defensive prod;
28.5;?;McGrath to Ramdin, no run pushed out to cover;
28.4;?;McGrath to Ramdin, no run defended on the front foot;
28.3;W;McGrath to Bravo, OUT lazy shot - another complacent, unbalanced drive, not getting on top of it and it spoons straight to Ponting at cover;Dwayne Bravo c Ponting b McGrath 9 (13m 10b 1x4 0x6) SR: 90;
28.2;1;McGrath to Lara, 1 run and it's pushed out to long-off;
28.1;?;McGrath to Lara, no run too leg side from the ageing fast bowler, clipped back to him;
27.6;?;Hogg to Bravo, no run crashed off the back foot to point. Only just short of point...;
27.5;1;Hogg to Lara, 1 run again short, and slow, Lara pulls it while down on one knee;
27.5;1w;Hogg to Lara, 1 wide short and down the leg side;
27.4;3;Hogg to Bravo, 3 runs bravo, Dwayne. Just short of a length and he's quick to rock back and crunch it off the back foot. Not quite as well timed as he'd like, but he's fleet of foot;
27.3;1;Hogg to Lara, 1 run and again Lara charges him, but Hogg fires it down quicker and straighter. Clipped for a single;
27.2;?;Hogg to Lara, no run another roar from Hogg as Lara is rapped on the pads, but it's down the leg side;
27.1;?;Hogg to Lara, no run not a bad shout indeed from Hogg. Lara gave him the charge but replays confirm not only my blindness, but my deafness too, as Lara clubbed that into his foot;
26.6;1;McGrath to Lara, 1 run and he's done it, dropping this into the leg side and stealing the strike;
26.5;1;McGrath to Bravo, 1 run too straight, whipped-creamed off his legs for a single;
26.4;1;McGrath to Lara, 1 run on off stump, neither a threatening line or length - no pace either - and Lara clubs it down the ground;
26.3;1;McGrath to Bravo, 1 run pushed to cover - oh dear, they're going for a single. Here comes the throw from cover, and he's just home;
26.2;4;McGrath to Bravo, FOUR runs remarkable shot! Punched on the front foot past the bowler for four. Beautifully timed;
26.1;1;McGrath to Lara, 1 run short of a length, he rocks back and punches it into the covers. And they steal a decidedly cheeky single;
25.6;?;Hogg to Bravo, no run punched to silly point;
25.5;?;Hogg to Bravo, no run ooh and he's done him in the length there; charging him, Bravo is forced to jab this down but he gets a thick outside edge which flies just short of gully;
25.4;?;Hogg to Bravo, no run short, wide, cut off the back foot to point;
25.3;?;Hogg to Bravo, no run lovely ball - quicker, on leg stump and he's right forward to it, defending it with firmness;
25.2;W;Hogg to Sarwan, OUT impatience has cost Sarwan. Charging Hogg, taking him on the full, he flat-batted him straight to midwicket. A careless, wasteful shot and the pressure has told;Ramnaresh Sarwan c Ponting b Hogg 29 (101m 58b 1x4 0x6) SR: 50;
25.1;1;Hogg to Lara, 1 run pushed down the ground;
24.6;?;Watson to Sarwan, no run Sarwan back-cuts this to Clarke at point who, brilliantly, throws down the stumps, forcing Sarwan to hurry his bat back into the crease;
24.5;4;Watson to Sarwan, FOUR runs and there we go: short, Sarwan pulls in front of square, timing it really well;
24.4;?;Watson to Sarwan, no run Sarwan gives Watson the charge, crashing this to mid-off but he again can't find the gap there;
24.3;1;Watson to Lara, 1 run short, rising onto Lara's cranium who keeps his eye on the ball - almost lining up his head with it, in fact - before paddling it around the corner;
24.2;1;Watson to Sarwan, 1 run good length; wrong line, too straight, whipped off his hip;
24.1;1;Watson to Lara, 1 run defended off the back foot;
23.6;?;Hogg to Sarwan, no run defended on the front foot;
23.5;1;Hogg to Lara, 1 run Lara charges him, smashing it on the full to Hogg who actually does really well, diving - tongue still hanging out of his mouth - and getting a hand to it;
23.4;1;Hogg to Sarwan, 1 run again wider, but greater spin here, turning back into the right hander who punches it back to him;
23.3;?;Hogg to Sarwan, no run cracked to point off the back foot;
23.2;?;Hogg to Sarwan, no run clunkily driven straight into the ground. Symonds dives, quite brilliantly, to save a run;
23.1;2;Hogg to Sarwan, 2 runs full - and wide - allowing Sarwan to go down on one knee, propose to the ball, before smashing it wide of cover;
22.6;1;Watson to Sarwan, 1 run chipped down the ground for the most facile of singles;
22.5;?;Watson to Sarwan, no run elegant, flourishing drive. For nothing.;
22.4;1;Watson to Lara, 1 run on off stump, Lara just pushes it to mid-off and grabs a single;
22.3;1;Watson to Sarwan, 1 run pushed into the covers;
22.2;?;Watson to Sarwan, no run Sarwan takes a step down the pitch here; Watson sends down a bouncer in repost which Sarwan evades;
22.1;?;Watson to Sarwan, no run just short of a length, and an excellent line here which he works greyly to midwicket;
21.6;4;Tait to Lara, FOUR runs oooh, the tide is turning here. Lara's flicked the switch. A fine ball on off stump, Lara tries to work it to leg - gets a thick outside edge which first slip would've poached with ease...but Australia are slipless;
21.5;4;Tait to Lara, FOUR runs bosh! Lara at his best there, flaying this on the up behind square for another four;
21.4;4;Tait to Lara, FOUR runs short, very short, on leg stump. Lara pulls, gets a thin edge around the corner and it races down for four. Fine batting;
21.4;1w;Tait to Lara, 1 wide miles wide of the off stump, although not quite a Harmiwide. Tait looks as confused as anyone;
21.3;1;Tait to Sarwan, 1 run really crisply hit off the back foot. Sarwan plays that stroke very competently, just punching it really, never trying to hit it too hard;
21.2;1;Tait to Lara, 1 run on leg stump, and worked calmly to mid-on;
21.2;1w;Tait to Lara, 1 wide that'll be a wide, no worries there. Flung down the leg side with an audible grunt by Tait;
21.1;1;Tait to Sarwan, 1 run in the air, but it flies over point and lands short of deep extra cover;
20.6;4;Watson to Lara, FOUR runs what a remarkable shot that is from Lara. Slayed through cover - almost falling backwards as he does so, the bat swirling with an extravagant follow-through and it scudded across the turf for four;
20.5;?;Watson to Lara, no run banged into the pitch and it's left alone this time;
20.4;?;Watson to Lara, no run mighty, mighty close there. On a length, too full to be pulling - but Lara is desperate now, and goes for an almighty heave-ho over midwicket, missing it completely;
20.3;1;Watson to Sarwan, 1 run full and straight, worked to mid-on for a single;
20.2;?;Watson to Sarwan, no run cracked into the covers, but straight to the man;
20.1;?;Watson to Sarwan, no run whipped off his legs and, oh that's a marvellous piece of fielding from possibly Ponting at short midwicket, throwing down the stumps - and Bracken does well to save an overthrown four;
19.6;?;Tait to Lara, no run just outside off and that's check-drived straight to the man at cover;
19.5;?;Tait to Lara, no run defended into the covers this time;
19.4;?;Tait to Lara, no run clever thinking from Tait, Lara dancing down and Tait answering his charge by cramping him up;
19.3;4;Tait to Lara, FOUR runs short and pulled strong, and brilliantly, in front of midwicket. Not much wrong with that delivery from Tait, just short of a length, but Lara helps himself, and dismissively - disdainfully, even - swats that one away;
19.2;?;Tait to Lara, no run more grunting, like being at Wimbledon on a bad day, and that's pushed right up there, the ball driven back to mid-on;
19.1;?;Tait to Lara, no run more grunting, but it's straighter and that's defended down this time;
19.1;1w;Tait to Lara, 1 wide grunts with the effort - "Ehh" - but still bangs that dully down leg, the batsman gamely swivelling round to have a go, yet is too late on the shot;
18.6;?;Watson to Sarwan, no run straight, with a touch of room, and Sarwan stands tall to ease that one in front of midwicket, but doesn't get much power on it;
18.5;1;Watson to Lara, 1 run hammered straight to Symonds at cover, there was a misfield as it bobbled just in front of him, and that allows the single;
18.4;4;Watson to Lara, FOUR runs slower legcutter and Lara leans into that, strong and with consummate timing, and he smashes it through cover;
18.3;?;Watson to Lara, no run tucked into the midwicket region;
18.2;1;Watson to Sarwan, 1 run tries to work it to mid-on again;
18.1;?;Watson to Sarwan, no run dropped. Now that would have been a really good take - still, it was a definite chance from a short ball taken by Sarwan from off to just in front of mid-on and Hussey dives, but shells;
17.6;1;Tait to Sarwan, 1 run on leg and swished to square where Mr Cricket pretends to throw it back into the keeper. He loves his cricket;
17.5;?;Tait to Sarwan, no run short, attempted bouncer and that's well ducked under;
17.4;?;Tait to Sarwan, no run pushed right up there and defended on the front foot;
17.3;?;Tait to Sarwan, no run short and Sarwan fails to get it away, jabbing it into the covers. He's giving himself a strict talking to, as the frustration grows;
17.2;?;Tait to Sarwan, no run a touch of width, and Sarwan cuts that down on the rise, straight to point;
17.1;?;Tait to Sarwan, no run flings that one in at a good length, and straight, and that's defended down;
16.6;?;Watson to Lara, no run carved into the covers, but straight to the man. There's a menacing inner ring of fielders waiting to snap something up and the pressure's still building;
16.5;?;Watson to Lara, no run quicker one, outside off, an attempted yorker but he got his line wrong, too wide and Lara's not interested;
16.4;?;Watson to Lara, no run driven out to the covers this time where it's picked up easily enough;
16.3;?;Watson to Lara, no run stays over the wicket and that's just full enough to prevent Lara swinging out at that one;
16.2;1;Watson to Sarwan, 1 run a fumble at midwicket - will they? Won't they? They will, and it's easy in the end;
16.1;2;Watson to Sarwan, 2 runs crashed away behind point for two easy runs;
15.6;?;McGrath to Lara, no run down that off channel again, the batsman completing a third leave in a row;
15.5;?;McGrath to Lara, no run another leave, slightly less theatrical, but he decided early again - the ball once more pinging outside off and floating a touch away from him;
15.4;?;McGrath to Lara, no run Lara makes obvious his intent to leave that one, whirling his bat round his head as he does so;
15.3;?;McGrath to Lara, no run again, up there, even fuller, and Lara can only defend, in an orthodox manner;
15.2;?;McGrath to Lara, no run much better, straight and fuller, Lara squeezing that into the on side;
15.1;4;McGrath to Lara, FOUR runs too much width - don't bowl there to him! - and that's cracked through cover on the up, top shot;
14.6;1;Watson to Lara, 1 run strayed down off and that's played out to the man on the fine-leg boundary;
14.5;1;Watson to Sarwan, 1 run strays on leg and that's driven in front of midwicket;
14.4;?;Watson to Sarwan, no run on a good length, driven into the covers;
14.3;?;Watson to Sarwan, no run on off, up there, and Sarwan does well to even manoeuvre that into the leg-side, wristy wrists agogo, but yet again he can't pick the gap. I think the stump mic was turned off that time, just in case;
14.2;2;Watson to Sarwan, 2 runs pushed in front of midwicket;
14.1;?;Watson to Sarwan, no run short, and Sarwan latches on to it, sending it only as far as point. I can't relay what Sarwan said, this being before the watershed, but let's just say his language was a touch industrial, frustrated at missing out;
13.6;3;McGrath to Sarwan, 3 runs way too much width, trying to adjust to the righthander, but there's a good double act from Watson and Symonds on the cover boundary and that's relayed back;
13.5;3;McGrath to Lara, 3 runs ...until now, dragging that a touch short and that's wristed from outside off stump in front of midwicket, Watson gives chase and hunts it down inside the boundary;
13.4;?;McGrath to Lara, no run very straight, and that's defended right down;
13.3;?;McGrath to Lara, no run across him again, a little bit straighter, and Lara is forced to defend yet again;
13.2;?;McGrath to Lara, no run pushes that one across the lefthanded Lara, a touch of room and it rises; the batsman defends it down, this time off the back foot;
13.1;?;McGrath to Lara, no run dances down, stops, and stuns the ball on the front foot, playing defensively down into the track;
12.6;1;Watson to Lara, 1 run worked out to a very wide fine leg;
12.5;1;Watson to Sarwan, 1 run played out to point;
12.4;?;Watson to Sarwan, no run jabbed down off the back foot;
12.3;1;Watson to Lara, 1 run they look for a quick single off an inside edge and there's a direct hit but Umpire Rauf's into his position quickly and saw that the batsman was well in. The Aussies half-heartedly appealed, there, but Lara was so safely home he was up the stairs tucked up in his pyjamas;
12.2;?;Watson to Lara, no run short and that's tickled into midwicket off the back foot, the batsman leaving his crease, but getting back quickly as he realises there's no run on;
12.1;?;Watson to Lara, no run short, on off, and that's jabbed down off the back foot into the covers;
11.6;?;McGrath to Sarwan, no run driven slowly to mid off;
11.5;?;McGrath to Sarwan, no run defended down off the back foot;
11.4;1;McGrath to Lara, 1 run short and that's played down and round behind square;
11.3;?;McGrath to Lara, no run oozes that one into the short midwicket this time;
11.2;?;McGrath to Lara, no run even a mere push of a drive to mid-off, as with this one here, is sumptuous to watch. McGrath bends his back, gets a fingertip to it, and does enough to take the pace off the ball;
11.1;?;McGrath to Lara, no run stays over the wicket to the lefthander, by the way, and Lara jabs that one down off the back foot;
10.6;1;Bracken to Lara, 1 run off the mark at last with a tickle to midwicket;
10.5;?;Bracken to Lara, no run outside off and Lara can leave that one easily enough. So he does;
10.4;?;Bracken to Lara, no run great channeling from Bracken, on off this time, right up there and again Lara is made to defend;
10.3;?;Bracken to Lara, no run even straighter, bang on middle, and Lara shapes to work that one into the midwicket, quick hands as ever, but stops on the shot;
10.2;?;Bracken to Lara, no run jabs quickly down on to this one, straighter, in line with off, and rising, so he plays off the back foot;
10.1;?;Bracken to Lara, no run that one's darted down the off side, on a good length, and the batsman takes his arms and shoulders them;
9.6;?;McGrath to Sarwan, no run and it's firmly defended on the back foot;
9.5;?;McGrath to Sarwan, no run left alone outside off;
9.4;W;McGrath to Samuels, OUT oh dear. That is a truly dreadful shot, skipping down the pitch, he was nowhere near to the pitch of the ball. Trying to hit McGrath back over his head, a one-handed, unbalanced top edge handed a simple skier to Symonds at cover;Marlon Samuels c Symonds b McGrath 4 (9m 8b 1x4 0x6) SR: 50;
9.3;?;McGrath to Samuels, no run driven on the up, but straight to cover;
9.2;?;McGrath to Samuels, no run cuts back into him and he jabs down on it late;
9.1;4;McGrath to Samuels, FOUR runs shot. Cover driven with elegance, authority, through cover;
8.6;?;Bracken to Sarwan, no run cracked to cover. But straight cover;
8.5;?;Bracken to Sarwan, no run prodded off the back foot to cover;
8.4;?;Bracken to Sarwan, no run excellent line, on off stump - the early boomerang swing has been reduced to just a "rang" - and it's firmly blocked out by Sarwan;
8.3;?;Bracken to Sarwan, no run straighter this time, of driveable length, and Sarwan cracks it to mid-off on the up;
8.2;?;Bracken to Sarwan, no run ooh, cuts this into Sarwan who is late on it, defending it off the back foot;
8.1;?;Bracken to Sarwan, no run on leg stump - again it keeps low - and it's prodded off the back foot;
7.6;?;McGrath to Samuels, no run classic McGrath line-and-length; frustratingly accurate, on off stump, and it keeps a little low on Samuels;
7.5;?;McGrath to Samuels, no run ah, lovely flourishing drive but straight to cover;
7.4;?;McGrath to Samuels, no run what a ball from McGrath. That spat up at Samuels viciously who took his eye off the ball which struck him just below the grill;
7.3;?;McGrath to Samuels, no run back and across, defending this solidly;
7.2;W;McGrath to Gayle, OUT and a wicket with his second ball for McGrath. Short of a length, but Gayle premeditated it, getting a top-edge off a pull and it's skied to Watson at mid-on;Chris Gayle c Watson b McGrath 2 (37m 23b 0x4 0x6) SR: 8.69;
7.1;?;McGrath to Gayle, no run inevitably it's pitches on a length, cutting back into Gayle;
6.6;1;Bracken to Gayle, 1 run too straight, Gayle works it off his legs to fine leg;
6.5;?;Bracken to Gayle, no run good line, and full too, Gayle defends it off the back foot;
6.4;?;Bracken to Gayle, no run check-driven on the front foot to mid-off;
6.3;?;Bracken to Gayle, no run pushed out with a greater flourish into the covers, but still no run;
6.2;?;Bracken to Gayle, no run better. Cutting back into Gayle who is solidly behind it;
6.1;?;Bracken to Gayle, no run left alone outside off. Bracken continues with this annoyingly wide line of the off stump;
5.6;?;Tait to Sarwan, no run neatly clipped off his toes, if not as well timed as he'd like, straight to midwicket;
5.5;?;Tait to Sarwan, no run quicker still (92mph. 148kph) but Sarwan is up on his toes, cutting to point. But straight to point;
5.4;?;Tait to Sarwan, no run clever, intelligent bowling, sending this wider of Sarwan to tempt him - and he is tempted, going for a huge flay outside off. And misses.;
5.3;?;Tait to Sarwan, no run crunched to Ponting's right at mid-off but he dives, and saves;
5.2;?;Tait to Sarwan, no run a nasty riser from Tait. That was a heavy, fast ball really spitting up on Sarwan who fends it off his chest;
5.1;2;Tait to Sarwan, 2 runs on leg stump and, with strong wrist action, he whips it through midwicket;
4.6;?;Bracken to Gayle, no run check-driven to mid-off. No chance of a run there. Australia's fielders are positively buzzing at the moment.;
4.5;?;Bracken to Gayle, no run firmly blocked out on the front foot once more;
4.4;?;Bracken to Gayle, no run a good length this - really nagging length: nearly driveable, but not quite. Gayle is forward in defence;
4.3;?;Bracken to Gayle, no run the day's first solid forward defence from Gayle. Nicely behind it, head right over the ball;
4.2;1;Bracken to Sarwan, 1 run ah, fine bowling from Bracken, pitching this up just a touch. It swings into Sarwan who, to his credit, plays it late off the back foot, angling it past gully;
4.1;?;Bracken to Sarwan, no run pushed out into the off side off the back foot;
3.6;1;Tait to Sarwan, 1 run the wrong line, drifting down leg and Sarwan nudges it to leg to steal the strike;
3.5;W;Tait to Chanderpaul, OUT gone! Full, straight, swinging into Chanderpaul's pads who plays all around it;Shivnarine Chanderpaul lbw b Tait 5 (20m 12b 0x4 0x6) SR: 41.66;
3.5;1w;Tait to Chanderpaul, 1 wide quick. Quick ball, 91mph (146ish kph) outside off. Chanderpaul goes for a Caribbean slash, but misses it by miles;
3.4;2;Tait to Chanderpaul, 2 runs oh and Chanderpaul goes on the pull here - too full to be pulling, perhaps? - gets it off the toe of the bat and it spoons in the air over the bowler. Very fortunate not to find mid-on;
3.3;1;Tait to Gayle, 1 run full, swinging into him and Gayle is finally off the mark with a squirted drive past the bowler;
3.2;?;Tait to Gayle, no run there's the line, on middle-and-off and swinging into Gayle who is really hurried into a defensive poke;
3.1;?;Tait to Gayle, no run that's zipped past Gayle's throat, albeit wide of his off stump...but an encouraging sign from Tait, getting good bounce off a length;
2.6;?;Bracken to Chanderpaul, no run swinging into Chanderpaul who is again rapped on the pads, beaten by the swing, but no cause for an appeal there;
2.5;?;Bracken to Chanderpaul, no run driven with more of a flourish and an extended follow-through, but it clunks off the bat without timing to mid-off;
2.4;?;Bracken to Chanderpaul, no run squidged out into the covers off the back foot;
2.3;?;Bracken to Chanderpaul, no run that's close, coming back into Chanderpaul who is rapped on the pads. Replays suggest I'm completely wrong, it wasn't that close, and was rising over his stumps. In fact, it pitched outside off too;
2.2;2;Bracken to Chanderpaul, 2 runs lovely drive, waiting on the back foot before driving it calmly through cover;
2.1;?;Bracken to Chanderpaul, no run very wide of the off stump - I'd have called it. But then that's why I'm typing about the cricket and not officiating. Left alone by the batsman;
1.6;?;Tait to Gayle, no run clipped off his toes straight to midwicket;
1.5;?;Tait to Gayle, no run very well bowled this time, on middle-and-off and Gayle has to jab down on it quickly - his crab-like stance rather suggesting the ball kept a little low;
1.4;1;Tait to Chanderpaul, 1 run a touch straighter - full, fast on leg stump - and Chanderpaul clips it off his toes down to fine leg;
1.4;1w;Tait to Chanderpaul, 1 wide oh dear. This is even wider of the leg stump. A comprehensive wide, if there is such a thing, swinging wider still;
1.3;?;Tait to Chanderpaul, no run on off stump, left alone;
1.3;1w;Tait to Chanderpaul, 1 wide a full-bunger down the leg side rightly called a wide;
1.2;?;Tait to Chanderpaul, no run good line this from Tait, rising up on Chanderpaul's off stump and he goes back and across to defend off the back foot;
1.1;?;Tait to Chanderpaul, no run clipped off his legs but Hussey fields at midwicket like a Jack Russell, scampering to his left;
1.1;1w;Tait to Chanderpaul, 1 wide and, as with Bracken, Tait's first ball is flung down the leg side;
0.6;?;Bracken to Gayle, no run well, I think Bracken can count himself lucky that wasn't called a wide. Left alone outside off;
0.5;?;Bracken to Gayle, no run left alone outside off - a little too wide of the off stump to trouble Gayle;
0.4;?;Bracken to Gayle, no run tighter line, but again there is prodigious outswing for Bracken. Gayle is wise to it now, and shoulders arms;
0.3;?;Bracken to Gayle, no run oh well bowled, that's a boomeranging outswinger from Bracken. Immense lift, off a good length, too;
0.2;?;Bracken to Gayle, no run ooh, there we go, angling into Gayle before it swings away from him. Gayle came forward, quite tentatively, but his firm forward defence was soundly beaten;
0.1;?;Bracken to Gayle, no run and a poor start from Bracken, firing this down the leg side. West Indies are off the mark;
0.1;1w;Bracken to Gayle, 1 wide better, but too wide of the off stump to trouble the left hander who watches it swing past him;

Bracken to open the bowling around the wicket, and he seems to have a very effeminate hair band on.
 Innings Start
Australia
West Indies
25th Match, Super Eights, North Sound, Mar 27 - 28 2007, ICC World Cup
322/6
219
Player of the match is Matthew Hayden, AUS
Australia won by 103 runs
